lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,meditation,attention
39238,7730,10527,32044,22951,7285,639434,158213,0,0
8718,23177,12042,26877,11266,4846,178397,263324,37,51
7412,3583,2845,1616,1699,568,518140,15578,60,56
7412,3583,2845,1616,1699,568,518140,15578,60,56
22920,12061,10288,19841,14174,9872,46713,52879,100,83
36642,22165,13456,8207,27691,2759,113584,18323,100,78
7822,2808,4412,2425,1092,657,326191,19993,84,77
7822,2808,4412,2425,1092,657,326191,19993,84,77
5510,4604,8240,3836,11448,1222,438877,73189,38,81
40179,20080,8579,22029,6496,16239,182502,63625,47,78
3796,7331,7343,12119,2915,1623,795153,20287,54,80
49973,4711,6092,6988,11520,4250,589896,82874,54,74
49973,4711,6092,6988,11520,4250,589896,82874,54,74
16687,31621,14011,8614,5462,2588,1859692,146062,83,61
34788,22432,15092,7183,22069,6693,152996,198324,47,54
7306,25008,15616,14037,51648,13717,1021965,87113,57,67
8991,9254,3039,11570,7464,4540,589622,226432,47,61
8991,9254,3039,11570,7464,4540,589622,226432,47,61
88626,15211,13429,14237,12170,7464,768399,72987,77,77
88626,15211,13429,14237,12170,7464,768399,72987,77,77
54145,8865,68966,19867,18385,6178,186042,453169,34,57
122456,73651,75774,25641,18362,8167,1411550,197801,41,60
6771,26725,6496,6642,5805,1598,425798,85213,60,63
17375,4957,3634,3213,2912,578,261370,46570,61,40
5783,4285,8734,6557,1306,4578,102352,21786,47,60
5783,4285,8734,6557,1306,4578,102352,21786,47,60
8818,2191,5668,6562,3997,708,81972,52009,56,74
33834,6374,14025,17490,10602,1806,900862,61768,67,60
12601,14222,4002,6009,5530,1636,54459,33101,83,61
35573,16208,11444,10912,9445,3851,15428,66726,87,66
191805,99263,59704,8801,11426,5653,738063,643434,61,40
4372,12376,2967,10298,6967,4826,532893,38991,30,41
4372,12376,2967,10298,6967,4826,532893,38991,30,41
41646,11771,10856,13967,5364,3710,214361,140545,74,69
41935,166098,36158,35755,13901,9433,2182028,586012,57,60
15514,6948,23514,14110,7894,5148,435545,123126,60,63
15514,6948,23514,14110,7894,5148,435545,123126,60,63
15514,6948,23514,14110,7894,5148,435545,123126,60,63
4179,5496,6311,4674,3149,1942,136991,12158,75,96
30600,43928,35407,9956,17199,3895,804416,403357,70,78
25652,28363,7557,13725,7199,8707,743857,47941,69,60
4224,12738,4524,11005,8359,7507,511920,16584,87,80
22544,2495,30152,16553,17374,7983,366467,304091,61,74
20932,10427,6416,9967,8704,2226,245020,55332,51,63
40430,16700,13097,16541,7077,4638,462498,70207,74,69
1790,6327,5975,4720,3286,2883,998797,52867,53,80
1790,6327,5975,4720,3286,2883,998797,52867,53,80
3987,3725,1294,2258,1556,752,147883,25700,60,67
3987,3725,1294,2258,1556,752,147883,25700,60,67
3987,3725,1294,2258,1556,752,147883,25700,60,67
5505,7501,3261,7065,6085,1106,78975,5725,61,88
8439,6410,12697,25529,14044,6255,337347,94330,54,100
62024,31442,33213,21491,15622,4508,48346,380468,51,90
26256,14584,7189,3811,1597,842,1336666,184473,51,90
16664,17289,12487,10529,6757,1405,248435,60287,54,80
19505,9733,20610,15846,10204,2408,259098,141742,70,66
26880,14018,25937,7627,2534,1720,659648,127423,53,63
36117,42672,25608,25134,14232,2514,1613952,37114,63,66
33931,11067,4264,3693,3761,993,1573066,149988,70,50
29899,22764,44573,28363,9348,1579,554563,99198,74,69
38351,66379,11556,31446,14904,8694,1942122,93786,67,87
5524,13287,6806,5882,3696,1170,1288156,54509,57,77
5524,13287,6806,5882,3696,1170,1288156,54509,57,77
7984,26803,10936,10489,2780,643,912625,64550,69,56
28134,57646,66578,48416,12563,5720,384092,80229,54,77
9115,19555,10571,10085,4522,1547,84796,124644,48,80
43417,55134,38311,70877,26278,5208,2558107,235777,51,66
2883,4480,4807,2591,5372,2256,1878475,29502,51,67
146911,47663,84147,29603,24232,3420,397506,241375,60,57
25059,23274,15939,13731,4387,4087,168049,90947,60,53
7861,6565,1977,5279,717,179,135911,44224,61,66
7861,6565,1977,5279,717,179,135911,44224,61,66
9940,12674,6844,3601,1121,427,286379,13438,67,66
9940,12674,6844,3601,1121,427,286379,13438,67,66
9940,12674,6844,3601,1121,427,286379,13438,67,66
9381,6300,3164,3464,2282,1561,771018,5120,90,53
12245,7954,18907,8581,2335,1968,537806,57488,90,81
12245,7954,18907,8581,2335,1968,537806,57488,90,81
12245,7954,18907,8581,2335,1968,537806,57488,90,81
7152,32330,52500,26332,18961,11244,1508524,448913,4,48
241595,25227,69639,103554,51744,6525,79983,1198248,27,50
241595,25227,69639,103554,51744,6525,79983,1198248,27,50
33908,5990,9522,10993,4752,2233,237948,214619,43,66
9480,160006,53904,17399,25023,5474,1405992,309442,43,53
73866,38187,36860,31473,32145,7202,2942875,309970,70,66
70019,19169,56835,29880,13736,3277,1632869,218715,66,75
22230,52156,105722,38333,21426,20825,1127242,973622,40,51
30755,23226,123965,77815,46401,23839,1612888,421132,37,61
21070,8401,12056,4681,5012,7837,894588,43366,41,51
21070,8401,12056,4681,5012,7837,894588,43366,41,51
5726,5197,3020,1803,1630,255,105860,8960,63,60
5726,5197,3020,1803,1630,255,105860,8960,63,60
5726,5197,3020,1803,1630,255,105860,8960,63,60
73411,6684,63316,30329,17630,19115,949014,803156,63,63
73411,6684,63316,30329,17630,19115,949014,803156,63,63
31654,9962,15250,32587,7585,2852,676119,275173,34,60
1298,11109,4265,7594,1405,461,68726,17781,38,70
17218,47960,44144,120051,30398,5886,1798210,150079,57,90
17218,47960,44144,120051,30398,5886,1798210,150079,57,90
116476,57344,147069,65202,11652,10298,2644115,482428,50,70
33822,9865,14912,14028,10514,4980,333781,38472,74,64
90245,34383,11126,17517,8944,6091,1111052,76937,70,80
90245,34383,11126,17517,8944,6091,1111052,76937,70,80
1755,2772,1354,3192,884,627,76870,30201,81,64
17932,22737,18692,23725,19145,4228,2791091,59775,61,66
38363,10357,29620,11940,17770,14658,788180,23704,61,64
35128,48926,35068,23434,17460,21927,1215075,215980,74,83
6945,11834,9665,8532,9670,1708,316883,73794,37,70
36239,13716,110075,42566,36283,48404,2318842,1037531,21,50
25374,8998,5631,6071,7439,4866,253918,49213,48,50
6907,32935,24857,12117,7051,3374,543629,48008,74,61
6907,32935,24857,12117,7051,3374,543629,48008,74,61
16627,3980,7260,6366,10394,3605,344138,85030,53,63
3719,2478,8120,2679,4150,969,525960,19258,50,60
57594,68564,33409,27014,12742,3222,1182753,80511,74,69
100473,28093,9522,42512,38498,25812,131518,152508,74,69
10227,32388,33826,6368,2102,4566,722022,258107,60,57
491443,29057,95828,69829,63763,14188,273246,270467,78,60
9442,36273,14890,10339,9353,7335,3089599,129718,77,51
9442,36273,14890,10339,9353,7335,3089599,129718,77,51
45789,53894,20008,4673,4712,4607,889924,206190,70,35
55217,7604,13653,17089,8709,5592,612502,136295,60,38
55217,7604,13653,17089,8709,5592,612502,136295,60,38
2807,21764,7469,3133,3266,853,317720,39354,44,50
24612,3716,4550,6113,4412,1436,298913,84476,78,56
36824,51231,62360,44860,13467,4114,1327807,138656,50,61
1193,1399,1619,1878,3095,330,110927,16223,27,57
8160,812,9560,5021,2631,2470,160377,10542,40,63
8160,812,9560,5021,2631,2470,160377,10542,40,63
9372,3868,4386,14375,3889,1801,938135,136628,54,75
5795,11422,36536,46432,28538,10120,1725996,82596,23,74
9681,9048,1506,6738,2076,2253,133957,31765,54,64
74069,35692,4734,16847,7505,4436,171831,141891,67,61
48702,56051,27588,10054,11893,3972,1528754,55411,69,64
8579,8429,20949,5022,5736,2109,481531,45158,64,50
8579,8429,20949,5022,5736,2109,481531,45158,64,50
31346,15468,9538,8428,6436,2852,341919,116203,41,51
68677,40024,62852,22737,30622,4416,1777610,64620,66,50
22654,82840,61026,41286,66497,17586,2577910,125543,96,83
12404,7712,7705,1450,599,371,174895,31621,93,67
13916,34679,13086,12887,5749,4973,444606,138012,84,51
13916,34679,13086,12887,5749,4973,444606,138012,84,51
83444,80800,31569,18571,15127,4156,460994,137758,69,69
8562,34440,44993,36961,10092,5277,428074,83150,80,78
109124,32033,29779,42512,9885,5077,1535423,167317,81,77
16405,83887,31554,19563,13810,4578,337673,172325,74,60
16405,83887,31554,19563,13810,4578,337673,172325,74,60
9946,28991,8145,30463,9945,3374,290972,86955,61,70
40929,41480,47543,16573,5538,2180,1467145,171519,54,67
45976,3654,36504,26130,7057,3957,42889,94593,70,67
10187,5093,10442,7040,4553,1619,1538687,72046,64,60
28660,9008,16859,2829,2770,1108,496044,66165,57,47
8486,26533,27355,14902,8269,5128,850397,91527,60,40
91082,20074,9007,12993,7176,1424,635832,37503,80,63
91082,20074,9007,12993,7176,1424,635832,37503,80,63
17686,18381,25559,14961,5756,2870,109265,170602,69,50
69332,18142,27069,4986,10125,2253,55885,128495,60,30
7416,36479,42205,12543,4355,1899,205247,86051,70,44
11105,55440,10826,9612,6393,1333,336532,105471,77,54
22681,63916,9986,19145,4819,1201,105072,23138,87,67
68187,18390,34381,9254,4603,2885,40820,43009,90,74
6836,1015,4102,3876,2799,916,103670,22145,61,69
50604,29553,18523,16098,10640,4351,527711,253277,47,54
7789,5217,15001,16588,10284,5380,49158,136491,43,54
57353,36857,18144,8210,7345,3884,146220,81868,63,80
9608,17072,13323,27537,7647,4539,118080,50375,67,94
23449,16262,10071,19420,8818,6373,372695,99956,66,81
18881,6494,12561,10659,8318,2613,1102964,9759,70,88
13799,15404,6267,3960,6054,4381,737681,77083,70,69
31493,44205,34077,13654,41493,7842,782295,144605,80,64
10276,27661,8173,16400,6073,9019,364939,27693,83,60
19349,10270,8056,15424,15345,14134,355797,77785,74,83
18193,13970,11298,6784,8026,2218,1596,18996,70,90
2439,3210,8179,7015,12688,7032,16342,9254,70,100
41040,27343,6804,6409,6152,3642,46932,55174,70,97
977,9517,6279,11806,7231,1845,17258,16700,91,84
977,9517,6279,11806,7231,1845,17258,16700,91,84
21315,11998,7159,11759,3631,1043,14445,35791,77,74
10506,12193,5240,7832,2821,1572,10748,16653,77,74
8636,7118,9323,8601,6795,3163,71596,23935,70,84
12818,10969,6541,16422,5320,443,23028,7573,70,94
9265,10992,17019,6093,5996,1307,7516,8419,78,96
5456,15780,16206,8778,19698,4633,142934,21996,57,88
8295,16458,7280,6225,4246,4282,5118,17910,64,94
8295,16458,7280,6225,4246,4282,5118,17910,64,94
5788,19946,13399,13917,3666,3920,24125,58948,74,80
3915,18853,7538,7617,8790,1467,36169,24929,57,81
4123,4547,1747,5672,2172,7001,79849,12198,61,100
7832,6218,7054,2183,1418,676,88422,34101,53,94
27030,22741,73321,65739,13229,12826,867055,216832,47,83
9815,13090,13725,5087,9096,4318,232605,96493,41,74
26354,26792,21638,21132,28345,19780,173577,67398,63,67
5352,8883,11880,17759,24508,6154,140047,59677,66,80
8586,30812,8256,7825,3815,3045,51821,129949,47,75
19813,15384,44848,19498,9246,5975,31000,10896,54,90
3375,3902,6200,21991,10610,7582,28471,20803,51,100
28597,25518,27029,5050,4773,1774,20570,12064,64,77
28208,9898,5818,8236,1739,1648,33016,8440,80,84
25505,11034,11489,4298,3868,1112,4463,9449,97,70
5999,5170,8503,9091,1884,1928,15345,18658,75,75
4532,4365,2031,6415,2161,1101,15119,26539,51,93
13181,20113,18778,18159,6667,2679,53343,89605,57,81
19236,17166,15685,3531,3586,2323,55333,17673,69,51
6897,12415,8077,6962,2899,2306,545068,6236,87,61
34241,32806,47675,6519,3484,2096,195246,114282,91,75
12169,3019,7695,6976,3674,765,156327,46652,83,67
2762,30307,25768,21555,6140,4080,299930,30426,63,56
2762,30307,25768,21555,6140,4080,299930,30426,63,56
6772,18069,8006,5800,5382,1767,29536,27962,53,44
16627,4659,17604,14488,3774,4471,33877,15547,57,74
19165,26200,7195,16249,7237,10585,100982,44835,66,96
96217,2431,8856,10372,5516,4109,63688,52524,81,81
13799,45363,18958,8354,6728,2246,23925,16823,96,74
12487,1134,1141,3783,845,782,96836,8139,100,80
11797,22182,13446,22021,11500,3538,215201,195556,90,66
5583,10905,10566,22772,11354,17824,38626,29887,48,90
19393,30818,14326,8369,21429,7424,13097,23389,60,100
3472,31916,5496,13816,6769,4606,13381,50551,67,78
3472,31916,5496,13816,6769,4606,13381,50551,67,78
5797,7792,2825,6222,7062,4825,30752,67036,41,44
6908,17272,3312,8023,5833,2679,38422,23688,43,70
1221,21244,5821,9270,3006,3602,18151,8944,67,81
10944,55807,7040,10307,5518,1224,88137,30491,90,75
5639,7316,4829,9740,3721,2801,33822,11789,84,81
24721,12598,7542,6553,12824,5696,6313,16800,74,93
12151,20887,14534,49985,24577,11831,300492,109977,60,90
12151,20887,14534,49985,24577,11831,300492,109977,60,90
2219,24338,23482,9727,6450,18376,662902,87699,44,70
2219,24338,23482,9727,6450,18376,662902,87699,44,70
81588,55631,36749,58739,97667,34076,1762594,131796,48,56
18906,29576,18588,27006,35601,11469,241476,235896,50,69
61768,18375,16326,32072,15698,4804,64405,103502,38,67
1711,6448,11058,24732,14946,9498,522962,102915,37,87
57079,125288,56172,40413,19420,11631,453930,257593,50,84
26019,13309,70372,42345,23363,16229,909828,296593,37,81
16887,19092,16205,11708,9749,5893,10300,22033,43,88
1694,12776,6891,18475,3465,2835,11860,12645,61,100
1694,12776,6891,18475,3465,2835,11860,12645,61,100
14878,4778,10475,5069,3637,1569,937382,33932,54,80
11480,2312,2446,9655,2941,1795,12243,9627,67,78
11480,2312,2446,9655,2941,1795,12243,9627,67,78
7734,13317,11114,12412,7105,3416,1752,11000,57,81
14827,5940,11909,9109,21448,12648,618736,54011,53,60
5934,15351,23257,7613,15401,9444,356541,582182,40,56
53634,4456,26432,19927,9207,3757,276380,91697,29,53
19887,13007,22844,9587,8924,6318,21731,63234,43,63
14343,11816,12362,11605,5324,3899,739902,151849,30,51
14343,11816,12362,11605,5324,3899,739902,151849,30,51
4609,25145,18962,23326,12374,3286,44652,6086,47,69
